School,District,Division1,Pupils,
Lwebitakuli Primary School,Ssembabule,4,88,
Bituntu St.Mark Primary School,Ssembabule,2,44,
Kitembo Primary School,Ssembabule,2,16,
Kitembo Primary School,Ssembabule,2,16,
Lubaale Primary School,Ssembabule,7,56,
Kyabi Standard P/S,Ssembabule,4,32,
Kasaana Mawogola Pri.School,Ssembabule,6,46,
Lusuula Primary School,Ssembabule,2,42,
Seeta Mugogo Primary School,Ssembabule,2,32,
Katimba Primary School,Ssembabule,2,31,
Kawanda Primary School,Ssembabule,4,61,
Birimirire Primary School,Ssembabule,2,22,
Kyamabogo C/U P/S,Ssembabule,2,22,
Kitahira P/S,Ssembabule,2,38,
Nankondo P/S,Ssembabule,4,42,
Lusaalira Muslim Pri.School,Ssembabule,2,35,
Burogogoro Primary School,Ssembabule,3,31,
Lwebusiisi Primary School,Ssembabule,8,55,
Kabukongote Primary School,Ssembabule,2,20,
Mitete Primary School,Ssembabule,5,68,
Katwe P.7 School,Ssembabule,7,47,
Misojo Lwazi P/S,Ssembabule,2,26,
Ntussi Progerssive P/S,Ssembabule,3,27,
Kirunga Irishaad Islamic P/S,Ssembabule,5,58,
Ssembabule P/S,Ssembabule,3,34,
Noble Care P/S,Ssembabule,12,39,
St.Joseph Mateete Pr.School,Ssembabule,16,48,
Byanika Parents P/S,Ssembabule,10,30,
Mateete St.Peter's Pri.School,Ssembabule,11,31,
Kagango Primary School,Ssembabule,1,46,
Mateete Musliy Primary School ,Ssembabule,2,92,
Meeru-Meeru Primary School,Ssembabule,3,15,
Lwemiyaga Junior P/S,Ssembabule,16,31,
Kikinga P/S,Ssembabule,16,64,
Twesigye Bright Grammar P/S,Ssembabule,14,22,
Smart Hill Pri.School Ntuusi,Ssembabule,25,39,
Ssembabule C/U P/S,Ssembabule,1,40,
Ssdde Junior Sch,Ssembabule,14,21,
Buddebutakya Primary School,Ssembabule,1,69,
Lwebitakuli Bright Primary School,Ssembabule,1,62,
Kyeera P/S,Ssembabule,2,78,
Auntie Agness P/S,Ssembabule,19,20,
Dez Junior Academy Pri.Sch,Ssembabule,42,46,
Kibulala P/S,Ssembabule,1,57,
Kainja,Tororo,2,71,
Tororo college P/S,Tororo,3,105,
Malaba Integrated P/S,Tororo,1,30,
Kipangor Primary School,Tororo,2,58,
Abwel,Tororo,1,30,
Panoah Primary School,Tororo,1,33,
Nyasirenge,Tororo,2,52,
Tororo Army,Tororo,4,106,
Morukapel Primary School,Tororo,2,62,
Merikit Unit,Tororo,5,44,
Pamadolo,Tororo,3,71,
Koitangiro,Tororo,1,133,
Osia ,Tororo,1,106,
St.Jude Malaba,Tororo,6,136,
Akadot,Tororo,1,94,
Kwapa,Tororo,1,91,
Apokor,Tororo,1,90,
Jubb P/S,Tororo,7,57,
Abobgit,Tororo,1,82,
Kidoko,Tororo,4,48,
Mahanga,Tororo,4,68,
Mahanga,Tororo,4,68,
Mifumi,Tororo,5,38,
St.Kizito P/S,Tororo,4,67,
Mudakori P/S,Tororo,3,62,
Wikus,Tororo,4,62,
Oguti Primary School,Tororo,8,154,
Super Standard Primary School,Tororo,1,19,
Mudodo,Tororo,7,132,
Tororo Police Children P/S,Tororo,4,75,
Merikit Unit,Tororo,5,73,
Mella,Tororo,5,92,
Vision Global Academy P/S ,Tororo,3,31,
Tororo Prison Primary School,Tororo,12,82,
Hope Chridrens Primary School,Tororo,9,60,
Abukar Jun.Sch,Tororo,3,20,
Elgon View School,Tororo,9,118,
Barinyanga,Tororo,5,48,
True Vine Christian P/S,Tororo,2,24,
Opany Junior School,Tororo,7,44,
Kiyeyi Primary School,Tororo,6,36,
Miganja,Tororo,1,55,
Joy Christian P/S,Nagongerea,Tororo,1,34.1048
Orago,Tororo,1,49,
Akworot P.7 School,Tororo,2,95,
Nagongera,Tororo,30,77,
Teens Challenges Primary School,Tororo,4,20,
Sop Sop,Tororo,1,46,
Sengo,Tororo,1,45,
Sengo,Tororo,1,45,
Sengo,Tororo,1,45,
Kasese P7 School,Tororo,23,107,
Chamwinula P/S,Tororo,23,107,
Rockside P/S,Tororo,6,27,
Victory Jun.Sch,Tororo,15,30,
Rock View School,Tororo,45,193,
St.James Seminary Pri.School,Tororo,15,26,
Pajwenda,Tororo,1,42,
Nyagoke,Tororo,1,75,
Magodes,Tororo,2,82,
Per Per,Tororo,1,73,
Industrial View Primary School,Tororo,1,71,
Kalait,Tororo,1,67,
Tororo Parents P/S,Tororo,41,59,
Omiriai,Tororo,1,62,
Ochegen,Tororo,1,60,
Maama Junior School,Malaba,Tororo,36,34.1048
Pakoi,Tororo,1,38,
Victory Border Point P/S,Tororo,47,54,
Morukatipe view P/S,Tororo,2,74,
Ssanga Primary School,Wakiso,4,141,
Caring Heart Day Primary School,Wakiso,1,35,
Gimbo Primary school,Wakiso,2,69,
Mwereerwe C/U Primary School,Wakiso,1,29,
kamu Nalinnya P/Sch,Wakiso,1,34,
Mweere C/U Primary School,Wakiso,1,29,
Kikandwa Babstist P/S,Wakiso,3,85,
Bugogo P/S,Wakiso,1,33,
Kimwanyi Umea Primary School,Wakiso,2,66,
Kikadwa Baptist P/S,Wakiso,3,82,
Kavumba C/U Primary School,Wakiso,5,163,
Gangu Blessed Hill Pri.School,Wakiso,7,191,
Katulaga Primary School,Wakiso,2,65,
Bweya Moslem Primary School,Wakiso,6,168,
Nambogo Primary School,Wakiso,1,26,
Happy Times,Wakiso,2,52,
Bweya Children's Home P/S,Wakiso,3,76,
Maya Primary School,Wakiso,1,32,
Fred Williams Primary school,Wakiso,2,64,
Wabiyinja Primary School,Wakiso,4,105,
Happy Times Primary Sch,Wakiso,2,52,
Jinja-Karoli Primary School,Wakiso,21,189,
Jinja-Karoli Primary School,Wakiso,21,189,
Namusera Catholic Primary School,Wakiso,8,198,
Alinyikara Junior School,Wakiso,4,36,
Maganjo Umea Primary School,Wakiso,31,274,
Agaliawamu-P/Sch,Wakiso,6,53,
Gombe Kayunga Primary School,Wakiso,31,273,
Gombe Primary School,Wakiso,3,91,
Nakasozi Primary School,Wakiso,14,122,
Kikajjo  Kasenge Primary School,Wakiso,5,118,
Gayaza Boys Primary School,Wakiso,11,259,
Buso Moslem Primary School,Wakiso,1,124,
Kikandwa P/Sch,Wakiso,6,141,
Namusera Umea Primary School,Wakiso,2,243,
Kabalamuliro Primary School,Wakiso,23,198,
Apollo Kaggwa Manyngwa,Wakiso,5,116,
Nanziga Public Primary School,Wakiso,10,86,
Yogemu Primary School,Wakiso,4,34,
St. kizito Preparatory Sch,Wakiso,2,17,
St. kizito Preparatory Sch,Wakiso,2,17,
St. kizito Preparatory Sch,Wakiso,2,17,
St. kizito Preparatory Sch,Wakiso,2,17,
West Herts Primary School,Wakiso,1,23,
West Herts Primary School,Wakiso,1,23,
West Herts Primary School,Wakiso,1,23,
West Herts Primary School,Wakiso,1,23,
West Herts Primary School,Wakiso,1,23,
Yogemu Primary School,Wakiso,4,34,
Bwebajja Junior School,Wakiso,2,17,
Kirinya C/U,Wakiso,15,341,
Nansana C/U Primary School,Wakiso,28,234,
Manyangwa Modern Pri.Sch,Wakiso,3,25,
Namagoma Umea Primary School,Wakiso,4,89,
Nsimbi Education Centre,Wakiso,2,16,
Nambogo Ps,Wakiso,1,22,
Ebenezer Ps,Wakiso,1,22,
Nsimbi Education Centre,Wakiso,2,16,
Ebenezer P/S  Bweyogere,Wakiso,1,22,
Kitetika Primary School,Wakiso,4,87,
Kabunza Primary School,Wakiso,3,65,
Galamba Primary  School,Wakiso,2,43,
Bbada C/S Primary School,Wakiso,1,82,
Galamba Primary School,Wakiso,2,43,
Kakiri Islamic P/S,Wakiso,4,32,
Jjanyi Primary School,Wakiso,7,56,
Blessed M.Nankinga Pri.School,Wakiso,32,253,
Kamuli St.Gonzaga ps,Wakiso,9,70,
Bulabakulu Primary School,Wakiso,8,61,
Revival Primary School,Matugga,Wakiso,5,32.4389
Mb P/S,Wakiso,5,38,
Revival Primary School,Wakiso,5,38,
Mb Primary School,Wakiso,5,38,
Naggulu Umea Primary School,Wakiso,16,121,
Migadde Primary School,Wakiso,2,33,
Jolly-Mercy Learning Centre,Wakiso,2,15,
Gobero P/sc,Wakiso,8,60,
Kiti Primary School,Wakiso,11,82,
Kalambi Junior ,Wakiso,7,52,
Kalambi Junior ,Wakiso,7,52,
Kalambi Junior ,Wakiso,7,52,
Kalambi Junior ,Wakiso,7,52,
Miggada Primary School,Wakiso,2,33,
Makamba Primary School,Wakiso,7,115,
Temple Nurser P/S,Wakiso,3,49,
Bukalango St Anges P/S,Wakiso,5,37,
Kitala C/U Primary School,Wakiso,7,114,
Namayumba C/U Primary School,Wakiso,10,74,
Samlga Memorial Pri.School,Wakiso,14,225,
Kyengera Primary School,Wakiso,21,153,
Green Valley P/S,Wakiso,1,20,
Kijjudde Primary School,Wakiso,5,36,
Light and Grammar Katikamu P/S,Wakiso,6,43,
Mellisa Nakwero Ps,Wakiso,5,100,
Tuzukuke Primary School,Wakiso,12,86,
I.D.Raymer Primary School,Wakiso,12,86,
Kanyange Primary School,Wakiso,40,286,
Jjungo P/Sch,Wakiso,5,77,
Gganda Public Primary School,Wakiso,16,246,
Hassan Tourabi Primary School,Wakiso,4,61,
Sacred Heart Nalubudde P/S,Wakiso,8,122,
Kazinga Primary School,Wakiso,6,91,
Bunamwaya Catholic Ps,Wakiso,14,212,
New Lwoga P/S,Wakiso,3,59,
Kitungwa Primary School,Wakiso,3,59,
Kireka C/U Ps,Wakiso,8,157,
Nkumba Quran Primary School,Wakiso,4,45,
Glory For Education,Wakiso,2,39,
Bibbo Primary School,Wakiso,8,89,
Bnweyogerere Central P/S,Wakiso,2,22,
Zziba P/Sch,Wakiso,2,38,
Zziba P/Sch,Wakiso,2,38,
kagoma Primary School,Wakiso,2,22,
Bweyogerere Central P/S,Wakiso,2,22,
Zziru Primary School,Wakiso,3,45,
St.Pius Mixed P/S Naddangira,Wakiso,9,170,
Kigero Primary School,Wakiso,4,75,
Kireka Parents,Wakiso,1,15,
Nicaragua Primary School,Wakiso,4,59,
Kitegomba C/U Primary School,Wakiso,3,44,
Nkumba Christian P/C,Wakiso,6,63,
Chriseka Primary School,Wakiso,8,144,
Ttaba P/Sch,Wakiso,1,18,
Luteete Gayaza Primary School,Wakiso,4,42,
Lwadda Primary School,Wakiso,13,232,
Kasengejje Primary School,Wakiso,9,160,
Kazo West Primary School,Wakiso,7,124,
Bbandwe C/U Primary School,Wakiso,12,173,
Kibiri Catholic Primary School,Wakiso,20,349,
Nansana Sda,Wakiso,9,157,
St.Paul Bulega C/U Pri.School,Wakiso,7,99,
Nsangi Primary School,Wakiso,9,127,
Namugongo Boys Ps,Wakiso,3,42,
Ntebetebe St.John's Pri.School,Wakiso,2,20,
Nsanji Junior School,Wakiso,4,28,
Nsangi Junior Primary School,Wakiso,4,28,
Kazo Junior Primary School,Wakiso,12,83,
Ssisa Primary School,Wakiso,3,41,
Good Hope Primary School,Wakiso,2,20,
Nansana Catholi  Pri.School,Wakiso,46,313,
Nankonge Primary School,Wakiso,4,40,
Katoore Elim,Wakiso,4,40,
Kiwamirembe St.Francis P/S,Wakiso,8,54,
Ntebetebe St.John's Pri School,Wakiso,2,20,
Bukasa Mixed Primary School,Wakiso,6,60,
St.Johnson Primary School,Wakiso,3,20,
Nankonge Primary School,Wakiso,4,40,
Kirinya C/U Ps,Wakiso,15,200,
kibiri C/U Primary School,Wakiso,9,89,
Kireka Army Ps,Wakiso,18,178,
Kisimbiri C/U Primary School,Wakiso,25,247,
Kyebando Umea Primary School,Wakiso,17,226,
Alheib Primary School,Wakiso,5,49,
Masooli Primary School,Wakiso,31,406,
God's Gift Ps,Wakiso,4,39,
Kacoc Primary School,Wakiso,31,406,
Buddo Prep.Sch,Wakiso,7,91,
Winterland Junior Sch.,Wakiso,11,107,
St Pius Masajja Primary Sch,Wakiso,40,388,
St.Pius Masjja,Wakiso,40,388,
Kikajjo Sda,Wakiso,6,78,
Katadde Primary School,Wakiso,3,29,
Katadde Primary School,Wakiso,3,29,
Ttikkalu C/U Primary School,Wakiso,28,270,
Kabira Primary School,Wakiso,12,152,
Kabubbu Comity P/S,Wakiso,5,48,
Kazo Mixed Primary School,Wakiso,37,354,
Bussi Parent P/S,Wakiso,10,95,
Bbira Primary School,Wakiso,20,247,
Lwahen Junior School, Kisimu,Wakiso,4,32.4389
St.Joseph's Bukobero P/S,Wakiso,4,49,
Lwahen Junior School, Kisimu,Wakiso,4,32.4389
St.Charles Lwanga Kawuku P/S,Wakiso,9,110,
Devine Child Primary School,Wakiso,4,26,
St.Paul Kitagobwa Pri.School,Wakiso,6,56,
kirinya Catholic P/S,Wakiso,18,167,
Makerere Kofs Islamic P/S,Wakiso,7,45,
Kalambi Mixed Primary School,Wakiso,8,51,
Bridges,Wakiso,5,46,
Bridges Primary School,Wakiso,5,46,
Bridges Primary School,Wakiso,5,46,
Namulonge P/S,Wakiso,13,119,
Nyakaikara Primary School,Wakiso,4,48,
Ssumbwe Primary School,Wakiso,9,108,
St.Aloysius P/S Gganda,Wakiso,5,31,
Kireka Umea Ps,Wakiso,20,235,
St.Aloysious Primary School,Wakiso,5,31,
Mugongo Primary School,Wakiso,11,129,
St.Charles Lwanga P/S. Matugga,Wakiso,7,43,
St.Charles Lwanga P/S. Matuga,Wakiso,7,43,
St Francis Junior School, Buddo,Wakiso,18,32.4389
Gayaza C/U Pri.Sch,Wakiso,32,371,
Ttikkalu Umea Primary School,Wakiso,6,69,
Bulindo St.Francis Pri.School,Wakiso,4,46,
Maganjo Sda,Wakiso,7,42,
Lunnya Primary School,Wakiso,27,160,
Sseguku Primary School,Wakiso,17,195,
Kigo Lunnya Primary School,Wakiso,27,160,
Norah Junior School,Wakiso,11,65,
Kalongero Junior School,Wakiso,5,57,
Zamzam Islamic Primary School,Wakiso,17,99,
Kijabijo Ps,Wakiso,10,58,
Kabojja,Wakiso,10,58,
Kijabijo Primary School,Wakiso,10,58,
Wampeewo Primary School,Wakiso,41,235,
Bwegogerere X-Tian Academy,Wakiso,6,34,
Mwerereerwe Catholic Pr.School,Wakiso,1,54,
St.Jude Kiryagonja Pri. School,Wakiso,1,54,
Ndejje Day and Boarding P/S,Wakiso,4,15,
Tendo Nursery and P/S,Wakiso,12,45,
Ggangu Muslim Primary School,Wakiso,8,30,
African Junior School Bulenga,Wakiso,8,30,
Bertina Primary School,Wakiso,7,26,
Kawotta Saviour Primary School,Wakiso,28,104,
Mwereetre Catholic Pri.School,Wakiso,1,54,
Bweyogerere X-Tian Academy,Wakiso,6,34,
Kaababbi Bulondo Primary School,Wakiso,2,107,
Kamuli C/U Ps,Wakiso,35,197,
St.Peter's P/S,Bunamwaya,Wakiso,10,32.4389
St.Peter's P/S,Bunamwaya ,Wakiso,10,32.4389
Ndejje Day and Boarding P/S,Wakiso,4,14,
Wattuba Umea Primary School ,Wakiso,3,159,
Bugabo  Primary School,Wakiso,10,56,
Namugongo Mixed P/S,Wakiso,1,51,
Setlight Quality Educ.P/S,Wakiso,6,20,
Mbirontono Primary School,Wakiso,12,40,
Godfrey Fdn,P/S amwaya,Wakiso,10,32.4389
Namugogo Mixed Ps,Wakiso,1,51,
kazo C/U Primary School,Wakiso,3,153,
Kaliti Primary School,Wakiso,2,102,
St.Luke Primary School Nkumba,Wakiso,23,127,
Nanzigasda P/S,Wakiso,10,32,
Hilltip Academy School,Wakiso,12,38,
Namagere P/Sc,Wakiso,1,50,
Bazadde Bweyogere C/S P/S,Wakiso,19,104,
Namugonde P/Sch,Wakiso,3,148,
Blessed Valley Primary School,Wakiso,10,31,
New Hope P/S,Wakiso,17,52,
Stephen Jota Children's Centre,Wakiso,23,70,
Nansuse Bright Primary School,Wakiso,9,27,
Hope Children's Centre,Wakiso,11,33,
Nansana Junior Primary School,Wakiso,17,50,
Kamuli Lubaawo Ps,Wakiso,12,35,
Quality P/S Kyengera,Wakiso,10,29,
Bweyogerere Unique Pri.School,Wakiso,10,29,
Wakiso Town,Wakiso,14,40,
Highway Children's Centre,Wakiso,12,34,
Ann Marie Primary School,Wakiso,19,53,
Kiti Primary School,Wakiso,8,42,
St.Peter Buwambi Pri.School,Wakiso,8,42,
Stardard Pri School Ndejje,Wakiso,29,80,
Child Care Academic Centre,Wakiso,24,66,
St.Mary's Pri.School,Wakiso,16,44,
Kirinya Parents Ps,Wakiso,9,24,
Profla Ps,Wakiso,15,40,
Kazo Summit Primary School,Wakiso,53,138,
Kitetika Abc Primary School,Wakiso,26,67,
Hidden Treasure Primary School,Wakiso,16,41,
Mayirikiti Muslim Pri.School,Wakiso,36,90,
kyaliwajjala Umea Ps,Wakiso,3,139,
Delight Primary School,Wakiso,8,41,
Busawula Primary School,Wakiso,14,71,
St.Jude Ps,Wakiso,11,27,
Buloba C/U Primary School,Wakiso,30,151,
Mbogo Junior School,Kawanda,Wakiso,7,32.4389
Rafiki Primary School,Wakiso,4,20,
Melody Junior School,Wakiso,4,20,
Tween-Age Educ.Centre,Wakiso,7,17,
Nansana Kisa Infant,Wakiso,21,51,
St.Theresa Mixed Day P/S,Wakiso,12,29,
Anna & Tonny Primary School,Wakiso,1,46,
Anna & Tonny Primary School,Wakiso,1,46,
Victors Junior Christian School,Wakiso,34,82,
St.Ponsiano Ngondwe P/S,Wakiso,10,24,
St.Lawrence Kyengera P/S,Wakiso,23,55,
Mbogo Junior School, Kawanda,Wakiso,7,32.4389
Rafiki Primary School,Wakiso,4,20,
St.Kizito Jr sch.Namugongo,Wakiso,16,38,
Melody Junior School,Wakiso,4,20,
Zebudayo Kibuuka PS,Wakiso,4,182,
Pioneer Sch Zena,Wakiso,6,30,
Buyege Boys P/Sch,Wakiso,2,91,
All Nations Primary School,Wakiso,3,15,
Kireka St.Matia Mulumba P/S,Wakiso,23,114,
Tropical Ps,Najeera,Wakiso,9,32.4389
Nyanama muslim Primary School,Wakiso,28,65,
Buyege Girl's P/Sch,Wakiso,21,48,
Kyengera Moslem Primary School,Wakiso,13,62,
Nyanama Muslim Primary School,Wakiso,28,64,
Bweyogerere C/U Primary School,Wakiso,53,251,
Fields of Life Primary School,Wakiso,11,52,
Nippon Nursery and P/S,Wakiso,14,31,
Gayaza Girls Primary School,Wakiso,10,47,
St.Thereza Little Prep,Wakiso,9,42,
King David P/S Wattuba,Wakiso,11,51,
Kikaaya Day And Boarding p/S,Wakiso,17,36,
Good Choice Nursery &Ps,Wakiso,27,57,
Firm Foundation Junior School,Wakiso,9,19,
Choice Nusery &P/S,Wakiso,27,57,
Nakawuma Modern Primary School,Wakiso,13,60,
Gyagenda Primary School,Wakiso,12,25,
Real Quality Junior School,Wakiso,29,60,
Nabweru Parents Primary School,Wakiso,13,59,
Immaculate Heart Junior School,Wakiso,4,18,
Kizito Pioneer Chilren's School,Wakiso,13,58,
Kito Pioneer Children Children's  School,Wakiso,13,58,
Samaritan Primary School,Wakiso,6,26,
Buwembo Primary School,Wakiso,1,44,
Batanda Juniour School,Kawanda,Wakiso,12,32.4389
St.Noa Junior Brg.School Zana,Wakiso,53,101,
Aunt Sophy Primary School,Wakiso,1,44,
Ebenezer Primary School,Kireka,Wakiso,43,32.4389
Kkunda Primary School,Wakiso,5,216,
Kkungu Primary School,Wakiso,5,216,
Bright Angels Junior School,Wakiso,8,15,
Kiteezi Learning Centre,Wakiso,14,57,
St.Joseph's P/S Nabbingo,Wakiso,26,105,
Juliana Junior School,Wakiso,22,40,
All Saints Bulenga Pri.School,Wakiso,34,136,
Nkumba Primary School,Wakiso,23,90,
Taibah Junior School,Wakiso,37,66,
St.Joseph P/S,Busukuma,Wakiso,18,32.4389
Gombe Junior School,Wakiso,18,32,
Highfield Primary School,Wakiso,10,39,
Faith Trust Day and Boarding. P/S,Wakiso,17,30,
Bulesa C/U P/S,Wakiso,1,43,
Namugongo Model Primary School,Wakiso,36,63,
Wakiso Junior Primary School,Wakiso,35,60,
Najjera Progressive P/S,Wakiso,51,87,
Star,Wakiso,23,39,
Lady Bird Matugga Pri.School,Wakiso,32,54,
Godrey Foundation P/S,Wakiso,31,52,
Conbert Modern Primary School,Wakiso,15,57,
Brightway Primary School,Wakiso,18,30,
Namugongo Parents,Wakiso,19,72,
Namugongo Ps,Wakiso,19,72,
Team Christain Ps,Wakiso,22,36,
Team Christian Primary School,Wakiso,22,36,
New Hope Kimbejja Junior Sch,Wakiso,15,24,
Kaliti  Quran Primary School,Wakiso,1,79,
Kkata Primary School,Wakiso,1,74,
St.Theresa Lw Junior Sch,Wakiso,32,51,
Muvule Primary School,Wakiso,26,41,
Kennedy Primary School,Wakiso,21,33,
Kiteezi Centre For Disabled,Wakiso,3,122,
African Children Choir,Wakiso,32,50,
New Hope Kimbejja Junior Sch,Wakiso,16,25,
All Saints Lweza P/S,Wakiso,53,82,
Sure Prospect School,Wakiso,13,20,
Yudesi Primary School,Wakiso,49,75,
Kireka Sda Ps,Wakiso,55,84,
Golden Bell Kindergarten,Wakiso,10,15,
Malangata Primary School,Wakiso,1,68,
Kiwoogwa Umea Primary School,Wakiso,1,67,
Kigogwa Umea Primary School,Wakiso,1,67,
Ssanda Primary School,Wakiso,2,131,
Ridgeway Grammer P/S,Wakiso,18,26,
Kasangati Moslem Pri.Sch,Wakiso,3,119,
Bright Future,Gayaza,Wakiso,36,32.4389
Bright Junior Schoo Wakiso,Wakiso,29,40,
White Angels Primary School,Wakiso,44,60,
Sos Hermann Gmeiner P/S,Wakiso,22,30,
Kazinga Parents School,Wakiso,36,49,
Kireka Hill Infant School,Wakiso,42,56,
Kiwenda Primary School,Wakiso,4,246,
Bbembe C/U Primary School,Wakiso,1,39,
King's Junior Junior School Seguku,Wakiso,22,29,
Kings Junior School,Wakiso,22,29,
Mother Care Bunamwaya,Wakiso,80,105,
Mother Manjeri Primary School,Wakiso,127,166,
Bweyogere Primary School,Wakiso,1,61,
Hands of Love National P/S,Wakiso,18,23,
Bweyogere Primary School,Wakiso,1,60,
Kiziba Mixed Primary School,Wakiso,1,38,
Budo Junior School,Wakiso,123,154,
St.Francis Nansana,Wakiso,36,45,
St.Anthony Kajjansi Pri.School,Wakiso,108,135,
Good Daddy,Wakiso,30,37,
kings Way,Wakiso,102,125,
Kayunga Classic Primary School,Wakiso,29,35,
kira Ps,Wakiso,3,114,
Buzimba P/S,Wakiso,2,116,
Glory To Glory,Wakiso,25,30,
Bugimba Primary School,Wakiso,1,38,
Kira Primary School,Wakiso,3,114,
Kawempe Junior Primary Sch,Wakiso,50,59,
St.Theresa Kisubi Girls P/S,Wakiso,90,105,
Kitende Modern,Wakiso,32,37,
St.Kizito Mpala Pri. School,Wakiso,1,37,
Kyengera Parents Pri.School,Wakiso,63,72,
Hosanna kings School,Wakiso,15,17,
Hosanna Kings School,Wakiso,15,17,
Kide Kasangati Primary School,Wakiso,23,26,
Zana Parents School,Wakiso,39,44,
Kibuuka Mixed Nanasana P/S,Wakiso,74,83,
St.Anne Girls P/S Naddangira,Wakiso,1,37,
Kampala Model,Wakiso,39,43,
Hill Side Primary School,Wakiso,100,110,
Namugongo Girls Ps,Wakiso,142,156,
Mugwanya Prepar School Kabojja,Wakiso,107,116,
St.Savio Kisubi P/Sch,Wakiso,111,120,
Hormisdallen Kirinnya Ps,Wakiso,81,86,
Little Muheji P/S Nansana,Wakiso,20,21,
Buyinja Primary School,Wakiso,40,42,
Lukman P/S,Wakiso,42,44,
Lukman Primary School,Wakiso,42,44,
Gayaza Junior Pri.Sch,Wakiso,107,112,
Kisubi Boys P/Sch,Wakiso,70,72,
Standard Junior Primary School,Wakiso,61,61,
Fairways P/S,Kireka-Kamuli,Wakiso,32,32.4389
Mongoyo,Yumbe,1,36,
Owoba Primary School,Yumbe,1,19,
Kulikulinga Islamic Sch,Yumbe,3,38,
Lodonga Demonstration P/S,Yumbe,8,42,
Lodongo Demostration,Yumbe,8,42,
Midigo Ps,Yumbe,1,47,
Midigo Primary School,Yumbe,1,47,
Yumbe P/S,Yumbe,12,61,
Pakayo Ps,Yumbe,1,41,
Zombo Upper P.7 Sch,Zombo,1,26,
Zombo Upper,Zombo,1,26,
Adhingi,Zombo,1,25,
Mvugu Lower Ps,Zombo,12,92,
Mvugu Lower ,Zombo,12,92,
Adusi ,Zombo,1,15,
Nyapea Boys' P7 Sch,Zombo,2,21,
Nyapea Boys,Zombo,2,21,
Outrang Boys P.7 School,Zombo,6,61,
Outrang Boys,Zombo,6,61,
Paidha Demostration,Zombo,4,53,
Pakadha Primary School,Zombo,1,41,
Pakadha,Zombo,1,41,
Ayaka,Zombo,1,60,
OwiNyopielo,Zombo,1,58,
